uniqueid,bank_account,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type
uniqueid_3134,No,Urban,No,2.0,20,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_1531,No,Urban,Yes,2.0,34,Female,Head of Household,Married/Living together,No formal education,Self employed
uniqueid_1180,Yes,Urban,Yes,2.0,27,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Private
uniqueid_4863,No,Urban,Yes,2.0,63,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_5411,No,Urban,Yes,2.0,34,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_2369,No,Urban,No,3.0,21,Female,Parent,Divorced/Seperated,Secondary education,No Income
uniqueid_4184,No,Urban,Yes,2.0,26,Male,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_22,No,Urban,Yes,3.0,21,Male,Head of Household,Single/Never Married,Secondary education,Informally employed
uniqueid_262,No,Urban,Yes,2.0,20,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_2156,No,Urban,Yes,4.0,52,Male,Head of Household,Single/Never Married,No formal education,Self employed
uniqueid_721,No,Urban,Yes,2.0,36,Male,Head of Household,Single/Never Married,No formal education,Self employed
uniqueid_3400,No,Urban,Yes,2.0,19,Female,Spouse,Single/Never Married,Primary education,No Income
uniqueid_2417,No,Rural,Yes,5.0,43,Female,Spouse,Single/Never Married,No formal education,No Income
uniqueid_1170,No,Urban,Yes,4.0,45,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_4761,No,Urban,Yes,3.0,57,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_3931,No,Urban,No,3.0,30,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_3163,No,Rural,No,4.0,52,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_2021,Yes,Rural,Yes,2.0,30,Male,Head of Household,Single/Never Married,Tertiary education,Self employed
uniqueid_389,No,Urban,Yes,2.0,23,Male,Head of Household,Single/Never Married,Secondary education,Self employed
uniqueid_6050,No,Urban,Yes,,35,Female,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_220,No,Urban,Yes,4.0,51,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_5004,No,Urban,No,3.0,16,Male,Parent,Divorced/Seperated,Primary education,No Income
uniqueid_748,No,Rural,Yes,2.0,36,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_4767,No,Rural,Yes,2.0,36,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_1250,Yes,Rural,Yes,3.0,24,Female,Parent,Divorced/Seperated,Tertiary education,Self employed
uniqueid_95,No,Urban,No,3.0,58,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_5252,No,Rural,No,2.0,40,Male,Head of Household,Single/Never Married,No formal education,Informally employed
uniqueid_2620,No,Urban,Yes,2.0,46,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_6563,No,Rural,Yes,2.0,25,Female,Head of Household,Single/Never Married,Tertiary education,Self employed
uniqueid_4187,No,Urban,Yes,3.0,23,Female,Other relative,Divorced/Seperated,Vocational/Specialised training,Remittance Dependent
uniqueid_1536,No,Urban,Yes,2.0,43,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_5684,Yes,Rural,Yes,3.0,46,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_4764,No,Urban,No,,38,Female,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_3130,No,Urban,Yes,1.0,31,Female,Head of Household,Single/Never Married,No formal education,Remittance Dependent
uniqueid_6267,No,Urban,No,,32,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_4917,No,Urban,No,2.0,19,Female,Spouse,Single/Never Married,Primary education,Informally employed
uniqueid_5483,No,Urban,Yes,2.0,26,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_2305,No,Urban,Yes,2.0,42,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_4079,No,Urban,No,3.0,43,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_5866,No,Rural,Yes,1.0,35,Female,Head of Household,Married/Living together,Primary education,Informally employed
